
HARGA
475
460
750
650
650
1000
700
500
700
700
525
700
550
550
650
650
650
600
600
600
600
400
400
500
750
700
600
500
275
550
450
600
550
450
500
500
500
425
500
500
500
500
600
460
450
450
700
450
350
350
450
450
450
450
250
450
425
400
400
400
400
1500
450
375
400
400
400
500
400
400
400
350
375
400
400
500
600
400
385
375
375
600
375
900
800
800
375
300
350
350
350
350
250
275
350
350
350
350
350
350
900
850
350
350
350
340
325
300
300
300
300
300
300
300
300
300
300
300
500
400
275
250
250
600
380
















































































































































































































































































































































































































































































































































































































































































































































































































































































































